iter	Passed	Remaining
0	0	557
1	1	523
2	2	729
3	3	835
4	4	925
5	5	973
6	6	982
7	7	989
8	8	984
9	9	961
10	10	936
11	11	918
12	11	906
13	12	888
14	13	869
15	14	866
16	14	846
17	15	834
18	15	825
19	16	829
20	17	818
21	18	815
22	19	811
23	19	799
24	20	788
25	20	781
26	21	772
27	22	763
28	22	751
29	22	743
30	23	737
31	24	734
32	24	728
33	25	722
34	26	718
35	26	710
36	27	707
37	27	705
38	28	700
39	28	695
40	29	689
41	30	685
42	30	686
43	31	683
44	32	680
45	32	681
46	33	681
47	34	680
48	35	695
49	36	692
50	37	690
51	37	688
52	38	688
53	39	687
54	39	686
55	40	684
56	41	682
57	41	679
58	42	677
59	43	675
60	43	671
61	44	670
62	45	670
63	45	667
64	46	665
65	46	664
66	47	662
67	48	660
68	48	658
69	49	656
70	49	653
71	50	651
72	51	648
73	51	646
74	52	642
75	52	641
76	53	638
77	54	640
78	55	641
79	55	640
80	56	640
81	56	637
82	57	631
83	57	628
84	58	625
85	58	622
86	59	620
87	59	617
88	60	615
89	60	613
90	61	611
91	61	609
92	62	607
93	62	606
94	63	605
95	64	604
96	64	602
97	65	600
98	65	598
99	66	597
100	66	595
101	67	594
102	68	592
103	68	591
104	69	589
105	69	587
106	70	585
107	70	584
108	71	582
109	71	581
110	72	579
111	72	578
112	73	577
113	75	586
114	76	585
115	76	585
116	77	582
117	77	581
118	78	579
119	78	578
120	79	576
121	79	574
122	80	572
123	80	571
124	81	569
125	81	567
126	82	565
127	82	563
128	83	561
129	83	559
130	84	558
131	84	556
132	85	555
133	85	553
134	86	551
135	86	550
136	87	549
137	87	548
138	88	547
139	88	545
140	89	544
141	89	542
142	90	541
143	90	540
144	91	538
145	91	537
146	92	538
147	93	538
148	94	537
149	94	536
150	95	535
151	95	534
152	96	532
153	96	531
154	97	530
155	97	529
156	98	528
157	98	526
158	99	525
159	99	523
160	100	521
161	100	520
162	101	519
163	101	519
164	102	518
165	103	517
166	103	516
167	104	515
168	104	514
169	105	512
170	105	511
171	106	510
172	106	509
173	107	508
174	107	506
175	108	505
176	108	505
177	109	504
178	109	503
179	110	502
180	110	501
181	111	502
182	112	503
183	113	502
184	114	504
185	115	503
186	115	502
187	116	501
188	117	502
189	117	502
190	118	501
191	119	500
192	119	500
193	120	499
194	120	499
195	121	498
196	122	498
197	123	498
198	123	497
199	124	496
200	124	495
201	125	495
202	125	494
203	126	493
204	126	492
205	127	491
206	127	490
207	128	489
208	128	488
209	129	487
210	130	486
211	130	485
212	131	484
213	132	485
214	132	484
215	133	484
216	134	483
217	134	482
218	135	481
219	135	481
220	136	480
221	136	479
222	137	478
223	137	477
224	138	476
